name,open,yesterday_close,price,high,low,bid_price,auction_price,volume,amount,buy1_vol,buy1_quote,buy2_vol,buy2_quote,buy3_vol,buy3_quote,buy4_vol,buy4_quote,buy5_vol,buy5_quote,sell1_vol,sell1_quote,sell2_vol,sell2_quote,sell3_vol,sell3_quote,sell4_vol,sell4_quote,sell5_vol,sell5_quote,date,time,,
浙江交科', '5.570', '5.570', '5.610', '5.650', '5.570', '5.610', '5.620', '7036302', '39495031.200', '16000', '5.610', '45000', '5.600', '126500', '5.590', '178700', '5.580', '46200', '5.570', '127700', '5.620', '124800', '5.630', '134800', '5.640', '337000', '5.650', '136200', '5.660', '2019-09-16', '15:00:03', '00',
华微电子', '6.260', '6.250', '6.480', '6.740', '6.220', '6.470', '6.480', '81460011', '527418508.000', '212900', '6.470', '306900', '6.460', '255410', '6.450', '41000', '6.440', '156700', '6.430', '512280', '6.480', '399880', '6.490', '453956', '6.500', '259671', '6.510', '413541', '6.520', '2019-09-16', '15:00:00', '00', ''
