symbol,pct_chg,rise,std_deviation_1y,pct_chg_1y,std_deviation_6m,pct_chg_6m,std_deviation_5m,pct_chg_5m,std_deviation_4m,pct_chg_4m,std_deviation_3m,pct_chg_3m,std_deviation_2m,pct_chg_2m,std_deviation_1m,pct_chg_1m,std_deviation_1w,pct_chg_1w
000711,2.0202,1.0,3.7355987735891967,-55.261900812387466,3.6431364476838,-59.53190091252327,3.7355987735891967,-55.261900812387466,3.7355987735891967,-55.261900812387466,3.7355987735891967,-55.261900812387466,1.9536625893913986,-18.50670026242733,1.9684407593674886,2.0842997282743454,1.9384862339922109,1.521600067615509
000712,0.7886,1.0,3.343280205326752,61.06600182503462,3.05284542510616,11.785802613943815,3.0839748960019358,0.6558025404810905,3.145510788548842,6.805802419781685,3.234908166141176,14.56580251455307,2.0609698671960284,-8.818799927830696,1.8727592372508268,6.333299875259399,1.1441612331358735,6.6774001121521
000713,-3.4615,0.0,4.009919528831194,95.82630082219839,3.8252200448357034,93.462901301682,3.8705743411273823,83.51290116459131,3.890883260493045,85.9729013517499,3.841423801672973,102.88290127366781,3.443867317810399,9.352600328624249,2.8985251567532835,6.374299317598343,0.5275803098520835,-1.5175000131130219
000715,3.4007,1.0,2.779742139022671,66.16689952462912,2.4706445537419897,38.45869933068752,2.5051592366151474,36.8686992675066,2.558127784341008,37.93869910389185,2.605362928470076,43.438699282705784,2.223594394662266,10.330000773072243,2.6105984618464118,18.716200560331345,3.0546251723084312,-0.2196999490261078
000716,-1.6575,0.0,3.136869150963973,22.74229870736599,2.8118413641938593,-19.744801357388496,2.87284213147597,-22.29480154812336,2.917948273489837,-7.904801651835442,2.9764741762173363,-6.094801813364029,2.8737608792392706,-10.149300456047058,3.026203762480114,8.496599733829498,4.664983200680158,6.830900132656097
000717,-0.2519,0.0,2.412445751590582,-49.56400200724602,2.615604360468378,-51.8362013399601,2.5871946414509868,-27.15620143711567,2.525583907743797,-45.86620192229748,2.5568716478229674,-43.24620148539543,1.6658793052293865,-12.12129956483841,1.6762154184245426,2.876100540161133,1.933319682154052,3.9596002101898193
000718,-0.5089,0.0,1.8062103052646479,29.966699481010437,1.6578894572386305,7.376699209213257,1.6486394133319144,13.316699296236038,1.664264633216408,12.416699439287186,1.6968686400822812,13.286699563264847,1.973406901573351,5.000600099563599,2.487432628595945,4.063299924135208,1.4539007236529728,3.692799925804138
000719,0.2751,1.0,1.8003119572721074,8.311299487948418,1.7369545069560617,-5.961100414395332,1.74588703068345,-3.3111002892255783,1.7425057121251992,4.728899508714676,1.7846870114903242,7.318899407982826,1.0490114071173025,2.327900245785713,1.1315262611077819,3.080000102519989,1.192138277054892,1.0038999319076538
000720,-0.4193,0.0,2.553727569620162,35.5014006793499,2.4130375343727715,20.627900555729866,2.4388412384810096,23.02790017426014,2.429272922546156,31.91790021955967,2.462576897485219,23.227900072932243,1.4188894283179694,-8.941000431776047,1.4639957938263972,-1.0022001266479492,0.8853041612137327,0.4399999976158142
000721,-1.6279,0.0,3.0648331525815005,12.793697789311409,3.0874352951034183,4.34109753370285,3.1491288759339744,-0.028902053833007812,3.21133166514313,9.151097625494003,3.2743066654367055,11.921097323298454,2.315557140310743,-0.2142002433538437,2.6820992938494377,9.321199655532837,3.454151610798364,4.586599946022034
000722,0.1431,1.0,3.024432761274466,29.7960996478796,2.804456581734894,-9.91940002888441,2.8426039232070206,-5.079399950802326,2.907678030907854,0.32060007750988007,2.9599704012290613,9.860600128769875,1.643213996337312,-6.435599967837334,1.4714853136914883,2.2738001197576523,0.6022603469590148,3.5151000320911407
000723,-0.2907,0.0,4.29751485696227,134.46120088547468,4.228480123874581,82.86619960516691,4.302394706341628,94.38620000332594,4.302394706341628,94.38620000332594,4.302394706341628,94.38620000332594,3.068111919441782,2.389000378549099,2.747565677457774,12.49610024690628,3.767204012125235,5.759900331497192
000725,1.8229,1.0,2.605452753725521,22.978199630975723,2.5645602188180208,-23.131500080227852,2.6001520300011864,-14.951499924063683,2.5826033976759337,-0.6015001386404037,2.615739996014444,4.0484999269247055,2.2778454380442055,6.210699677467346,1.8969616480487934,0.6715999841690063,1.4581015989559956,3.2377999424934387
000726,0.1074,1.0,1.229994427356256,6.159600086510181,1.3482293573354738,0.9898000508546829,1.3595747840029495,2.789799988269806,1.3789642377956803,0.8997998833656311,1.36734799547129,-7.970200151205063,0.8286684179566051,-3.5372999906539917,0.8729015628041192,-2.769199922680855,0.7156850620887465,0.7681000381708145
000727,-1.2658,0.0,3.6002435502993837,46.48899722099304,3.1338341547491906,17.94239768385887,3.1373810038858645,17.782397270202637,3.199647379126872,21.90239727497101,3.297655181557187,27.252397298812866,2.672416212946617,7.634099781513214,2.719655455752533,12.47519987821579,4.503018319904287,8.914099872112274
000728,0.8949,1.0,2.9404590877981183,41.41110020130873,2.61175703307021,10.99569983780384,2.659666007200933,14.445699512958527,2.6921130323916,13.315699607133865,2.7585186958695758,21.02569967508316,1.7468072003087363,-1.9322000369429588,1.6821445980323968,3.8533000722527504,0.9687170745334243,4.7400000393390656
000729,0.1642,1.0,2.223083266040104,3.808999717235565,2.3026947705597087,-7.490500345826149,2.302671768927366,-13.290500447154045,2.3123445685410657,-7.520500436425209,2.2224531871816473,-25.500500842928886,1.6953454616151264,-10.804700136184692,1.8554714448890652,3.564099967479706,1.1371864831329197,-3.503600001335144
000731,1.105,1.0,2.255314069485418,7.130599245429039,2.2818652647535154,-19.724201008677483,2.306268271792017,-15.944201216101646,2.351838671341381,-13.564201161265373,2.3520075045823656,-6.874200791120529,2.27997668976717,-5.981400325894356,1.6364487922919075,-3.30239999294281,1.1901979060618417,1.3347000181674957
000732,-0.312,0.0,2.591117690557476,-11.489100601524115,2.7275696480638545,-63.06000031158328,2.607554340215719,-56.31000101938844,2.523713297739944,-56.5200011767447,2.5503352191591437,-47.05000167712569,1.6522468266081916,-18.470000252127647,1.664666058388526,-4.54940003156662,1.6679225567859883,3.087299942970276
000733,0.8278,1.0,2.528071163402696,39.8333994820714,2.5514252565313322,46.9487012475729,2.5214480275029225,40.20870079100132,2.5154408857164587,30.938700392842293,2.542320373092224,37.84870021045208,2.201208792492838,15.728100065141916,2.4350648045682926,19.77429997548461,3.400006601054509,6.461100120097399
