,symbol,pct_chg,rise,std_deviation_1y,pct_chg_1y,std_deviation_6m,pct_chg_6m,std_deviation_5m,pct_chg_5m,std_deviation_4m,pct_chg_4m,std_deviation_3m,pct_chg_3m,std_deviation_2m,pct_chg_2m,std_deviation_1m,pct_chg_1m,std_deviation_1w,pct_chg_1w
3134,601933,0.5429,1,1.9112753303425947,24.395298458635807,1.9387908536067298,-0.7543025091290474,1.9286153183610173,1.905697613954544,1.9374904160995554,6.865697681903839,1.9390188142737494,13.275697872042656,1.8897956997583547,-6.232600264251232,1.444234929150137,-1.7154000326991081,1.1194149250698067,-6.641300015151501
3135,601939,-0.2813,0,1.4175712132487066,13.24359878897667,1.5582583303832045,-0.9284011796116829,1.545471619449092,9.041598841547966,1.5085361068112775,6.23159883916378,1.527439356295149,13.331598728895187,0.8621944280689482,-0.3623998761177063,0.7388270437177016,-0.3637000024318695,0.7787506420150037,3.022099941968918
3136,601949,2.3529,1,3.2813868430027204,59.82100062072277,2.9687632419861396,21.7446009516716,2.9837932353257806,27.534601002931595,3.0239127789405744,28.494601368904114,3.0934577849246203,33.09460110962391,2.5167534898595947,13.117500185966492,2.971077838509817,24.096199959516525,4.581121608069164,8.040000319480896
3137,601952,1.2931,1,2.494567663392505,-5.053998380899429,2.4026848887572796,-17.51499854028225,2.3990692189227616,-16.884998679161072,2.4486404366921093,-8.73499870300293,2.5049822722936628,1.535001426935196,1.7388172206226173,-4.51259982585907,1.62530269562863,-0.15579989552497864,0.6381975709128459,2.4890999794006348
3138,601958,0.5602,1,1.814453286053615,21.197399467229843,1.8975098893003197,8.54399985074997,1.8620929746464416,14.743999630212784,1.8830701874320004,11.273999631404877,1.8933700682346475,15.653999522328377,2.1647328491733235,14.02029986679554,1.547995036320816,1.6633999943733215,1.3096084827028538,7.20239993929863
3139,601965,0.0,0,2.24215949379143,26.89859949052334,2.1011649384827398,3.2448991239070892,2.1326280862338094,3.624899223446846,2.188410283215198,2.5148992463946342,2.1976908720440425,1.444899596273899,1.6680480396384423,6.445899724960327,1.2076348430533916,11.171799927949905,0.9946321248943379,5.467899948358536
3140,601966,0.5353,1,2.023705077740499,34.88909938931465,1.9214927189380973,18.342399399727583,1.929070512712627,27.712399397045374,1.9479631273887936,28.452399227768183,1.9864844519518101,25.742399372160435,1.9695808310765899,20.74169972911477,2.042975242338512,4.664699748158455,1.666888673603071,-0.17420004308223724
3141,601968,1.8391,1,2.2013831837265974,17.968500420451164,2.175604671338736,1.0333998799324036,2.1629904861458824,0.6934001445770264,2.2044059774336966,5.733400076627731,2.2597588050094126,12.983400225639343,1.438000815361986,-2.9482994824647903,1.3416917934875539,-0.2700997591018677,0.5996038796504765,1.6338000297546387
3142,601969,1.2259,1,3.222307431581258,27.766201496124268,3.058791994768119,-11.891098588705063,3.0900361194812347,-11.401098728179932,2.998986859309888,-5.221098601818085,3.0605576397246845,-1.141098439693451,2.2476989050753744,1.282399982213974,1.8513551771287602,5.573200136423111,2.638689733605881,4.665900141000748
3143,601975,0.3195,1,4.145116804005033,-17.550701558589935,4.145116804005033,-17.550701558589935,4.145116804005033,-17.550701558589935,4.145116804005033,-17.550701558589935,4.145116804005033,-17.550701558589935,1.86566827296681,0.1261996626853943,1.9593778557300336,12.288199841976166,1.0323704162367298,4.286699950695038
